,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,2.8040971932758836e-05,5.011697564565316e-05,7.975422148178075e-05,7.975422148178075e-05,0.00010947721499469061,0.0001238500434871413,0.0001238500434871413,0.0001725670196970365,0.00020862632740853296,0.00023731541478624895,0.0002718056379543555,0.00038536864085929415,0.0004841070477472032,0.0004936387467093746,0.000559364240643926,0.0007669734459754526,0.0009968689037873995,0.0011371115707411764,0.001421646049247265,0.001501577346942944,0.0018786877545544404,0.0024353066944238747,0.0027678061777463,0.003537400584674826,0.002668242775729324,0.002945767613851257,0.004526542918685249,0.001543909222913293,0.0022314436458538813
1,2.804097193275884e-05,5.011697564565316e-05,5.24865945407256e-05,7.8960875790704e-05,0.00010958965270901246,0.00010922458006255102,0.0001238500434871413,0.00017256701969703647,0.00020771970879400424,0.00021276258754869312,0.00027091180445963653,0.00027180563795435554,0.0004799368751540353,0.00048319924036502754,0.000593437653638645,0.0007124178737402619,0.0009019528488444247,0.001154530786934136,0.0013504352136368923,0.0016296075067258114,0.0019516098401280155,0.0024353066944238742,0.0027678061777462997,0.003537400584674826,0.004515931366007956,0.004526542918685249,0.006313461888197112,0.004526542918685248,0.005688708111100251,0.005662328394909346
2,3.402134432197005e-05,4.911702329654436e-05,7.174797276088179e-05,8.450480191213804e-05,0.00010958965270901247,0.0001209603881452729,0.00016733713836707318,0.00020862632740853296,0.00020862632740853296,0.00026310183840050973,0.00032961262332180814,0.00045976372422735693,0.0005063922878644053,0.0005114107824537012,0.0006009533301468168,0.0007669734459754526,0.0011152552141324831,0.0012183248171645498,0.0015590834991568013,0.0017768181762021675,0.002263154070036017,0.003082552795743164,0.003836359555344348,0.004944770203517163,0.0052772120505403496,0.006996601948700638,0.009211621150589138,0.008012848205282794,0.009358972312947866,0.011291444431495745
3,4.041133441559156e-05,5.397475773234785e-05,7.174797176088175e-05,8.4618500508821e-05,0.00012137159773635476,0.00014121488220183577,0.00016733713836707318,0.00020862632740853296,0.00021367161374128324,0.0002718056379543555,0.00038275636528185635,0.0004592996194390127,0.0005063922888644054,0.0005489598331003468,0.0007514961965683267,0.000997618113089424,0.001421646049247265,0.001421646049247265,0.001727272809398117,0.002268694568957296,0.0027327928441721007,0.003537400584674826,0.004515931366007957,0.0057506762476124355,0.006996601948700638,0.010072800015111344,0.011291444431495745,0.013793669273707284,0.011876606768525767,0.014002203367398078
4,4.1385088729549184e-05,5.397475773234785e-05,8.560924961660617e-05,0.00010922458006255102,0.0001238500434871413,0.00014424225908946396,0.0001812445146687029,0.0002083670072140079,0.0002718056379543555,0.00031689447352568396,0.00041473247757869785,0.0004877708678572287,0.0005056143958146035,0.0006360455317795139,0.0008805776104920833,0.0010196784842867485,0.0014838339564693752,0.0016913772866088657,0.002346771225775167,0.002750281518126465,0.0032137515958572645,0.004944770204517265,0.005983513927439434,0.006996601948700638,0.01007279866012594,0.011291444431495745,0.014002206266989158,0.014002203367398078,0.015815977529751033,0.014002203367398077
5,4.041133141559153e-05,7.174797176088177e-05,8.461850050882102e-05,0.00011708122507189078,0.0001238500434871413,0.00015777465091635712,0.00019363930962895394,0.00020771970879400424,0.0002718056379543555,0.0003168944735256839,0.00043188642633424534,0.0005065501719871878,0.0006023086941802064,0.0007088342714962756,0.0009019528488444248,0.0013724873843363463,0.0015775424862085226,0.0019415847735631657,0.0024353066944238747,0.0027678061777463,0.0038517573830670272,0.005656703607233208,0.006326889391006084,0.009397084337571136,0.014002203367398078,0.014002203367398078,0.020284909754525026,0.02428983611085117,0.020338758894804507,0.01954932137349998
6,5.199360699613951e-05,7.174797176088177e-05,8.560924961661e-05,0.00011693479641649647,0.000144705814838878,0.0001577746509163571,0.0001936393096289539,0.00024082563018850377,0.0002932765496990676,0.0003596015797044395,0.00045976372422735693,0.0005489598331003469,0.0006599771511651537,0.0008805776104920833,0.0009019528488444248,0.0014838339564693754,0.001699178962888357,0.0019415847725631659,0.0024353066944238747,0.0030825527957431638,0.004800203672381412,0.005983513926439433,0.007399025052846156,0.012877223049036145,0.0210587825094611,0.021058782509461103,0.03856251473813951,0.03670475242121166,0.02428983611085117,0.04340838298502314
7,5.199360699613952e-05,8.450480191213807e-05,8.560924961660617e-05,0.00011744126919757068,0.0001447058128388779,0.0001673170053716226,0.00020851619696803025,0.0002655760358802673,0.00029269632239820753,0.0003596015797044395,0.00045976372422735693,0.0005487393109684938,0.0006762337704075874,0.0008814094508782601,0.0011163272747513006,0.0014838339554693757,0.0016991789628883571,0.002262458250784028,0.0030834434119384577,0.0038622597384075363,0.00494433646212048,0.006313461888197111,0.009292000178934995,0.014880011261050884,0.021541963117280818,0.029324469607551053,0.054219690665463845,0.09164867402213642,0.08690402592279098,0.051072137679235505
8,5.387533281190036e-05,8.461850050882102e-05,8.560924961660617e-05,0.0001167508251984899,0.000144705814838878,0.00016714042955378518,0.00020847525720170447,0.0002655760358802673,0.0002926963299132875,0.0004013676100407069,0.00045929962043901276,0.0005487393109684938,0.0008805776104920833,0.0008804137119762294,0.0011163272747513006,0.0014838339564693754,0.0016991789628883571,0.002346771225775167,0.0030834211705179793,0.003914704304976503,0.006257296795328655,0.00699661046085361,0.010072800015111344,0.016802820614599173,0.02154196081676884,0.04296858836904955,0.07664004844527411,0.09235644161004299,0.1529853062296739,0.1591756906133044
9,7.174797176088177e-05,8.560924961660617e-05,8.471667924587571e-05,0.00011734112059822111,0.00015832238343545948,0.00018076176608285602,0.00020771970879400424,0.00026468521397106023,0.0002926963233982074,0.00045929962043901276,0.0004719775543188326,0.0005814192542236432,0.0008805776104920833,0.0009025116086623284,0.0011163272747513006,0.0014838339564693754,0.0016991789628883571,0.002623104621318029,0.0030834211705179793,0.004823539649608467,0.006257296795328656,0.006996601948700638,0.010503358836979686,0.021541963119280808,0.021541960817768834,0.05092347957765661,0.0766400484452741,0.11993113751764403,0.2761530323612786,0.44143469832998733
